Fecha del reporte,Personal,Cantidad,Dosis,Fuente,Minuto,Vacuna,Link,Notas
14/01/2021,Sin especificar,329983,NA,Youtube,15.51,Pfizer-Biotech,https://www.youtube.com/watch?v=6uOa8HFRjIg,
13/01/2021,Sin especificar,192567,NA,Youtube,13.3,Pfizer-Biotech,https://www.youtube.com/watch?v=4ARyrGv7i2w,
12/01/2021,Sin especificar,92879,NA,Youtube,23.1,Pfizer-Biotech,https://www.youtube.com/watch?v=5uIsxix0Oww,
11/01/2021,Sin especificar,87060,NA,Youtube,25.15,Pfizer-Biotech,https://www.youtube.com/watch?v=6RnlogebqIk,
10/01/2021,Sin especificar,81300,NA,Youtube,25.1,Pfizer-Biotech,https://www.youtube.com/watch?v=q2nx7D44j-k,Al final del día fueron 81388
09/01/2021,Sin especificar,74974,NA,Página de SSA,NA,Pfizer-Biotech,https://www.gob.mx/cms/uploads/attachment/file/606136/CP_Salud_CTD_coronavirus_COVID-19__13ene21.pdf,Se calcula a partir de la gráfica de barras sumando los acumulados.
08/01/2021,Sin especificar,68072,NA,Página de SSA,NA,Pfizer-Biotech,https://www.gob.mx/cms/uploads/attachment/file/606136/CP_Salud_CTD_coronavirus_COVID-19__13ene21.pdf,Se calcula a partir de la gráfica de barras sumando los acumulados.
07/01/2021,Sin especificar,60845,NA,Página de SSA,NA,Pfizer-Biotech,https://www.gob.mx/cms/uploads/attachment/file/606136/CP_Salud_CTD_coronavirus_COVID-19__13ene21.pdf,Se calcula a partir de la gráfica de barras sumando los acumulados.
06/01/2021,Sin especificar,53958,NA,Página de SSA,NA,Pfizer-Biotech,https://www.gob.mx/cms/uploads/attachment/file/606136/CP_Salud_CTD_coronavirus_COVID-19__13ene21.pdf,Se calcula a partir de la gráfica de barras sumando los acumulados.
05/01/2021,Sin especificar,48433,NA,Página de SSA,NA,Pfizer-Biotech,https://www.gob.mx/cms/uploads/attachment/file/606136/CP_Salud_CTD_coronavirus_COVID-19__13ene21.pdf,Se calcula a partir de la gráfica de barras sumando los acumulados.
04/01/2021,Sin especificar,44179,NA,Página de SSA,NA,Pfizer-Biotech,https://www.gob.mx/cms/uploads/attachment/file/606136/CP_Salud_CTD_coronavirus_COVID-19__13ene21.pdf,Se calcula a partir de la gráfica de barras sumando los acumulados.
03/01/2021,Sin especificar,39958,NA,Página de SSA,NA,Pfizer-Biotech,https://www.gob.mx/cms/uploads/attachment/file/606136/CP_Salud_CTD_coronavirus_COVID-19__13ene21.pdf,Se calcula a partir de la gráfica de barras sumando los acumulados.
02/01/2021,Sin especificar,35994,NA,Página de SSA,NA,Pfizer-Biotech,https://www.gob.mx/cms/uploads/attachment/file/606136/CP_Salud_CTD_coronavirus_COVID-19__13ene21.pdf,Se calcula a partir de la gráfica de barras sumando los acumulados.
01/01/2021,Sin especificar,31349,NA,Página de SSA,NA,Pfizer-Biotech,https://www.gob.mx/cms/uploads/attachment/file/606136/CP_Salud_CTD_coronavirus_COVID-19__13ene21.pdf,Se interumpió el proceso de vacunación
31/12/2020,Sin especificar,31349,NA,Página de SSA,NA,Pfizer-Biotech,https://www.gob.mx/cms/uploads/attachment/file/606136/CP_Salud_CTD_coronavirus_COVID-19__13ene21.pdf,Se calcula a partir de la gráfica de barras sumando los acumulados.
30/12/2020,Sin especificar,25886,NA,Página de SSA,NA,Pfizer-Biotech,https://www.gob.mx/cms/uploads/attachment/file/606136/CP_Salud_CTD_coronavirus_COVID-19__13ene21.pdf,Se calcula a partir de la gráfica de barras sumando los acumulados.
29/12/2020,Sin especificar,19233,NA,Página de SSA,NA,Pfizer-Biotech,https://www.gob.mx/cms/uploads/attachment/file/606136/CP_Salud_CTD_coronavirus_COVID-19__13ene21.pdf,Se calcula a partir de la gráfica de barras sumando los acumulados.
28/12/2020,Sin especificar,10076,NA,Página de SSA,NA,Pfizer-Biotech,https://www.gob.mx/cms/uploads/attachment/file/606136/CP_Salud_CTD_coronavirus_COVID-19__13ene21.pdf,Se calcula a partir de la gráfica de barras sumando los acumulados.
27/12/2020,Sin especificar,6824,NA,Página de SSA,NA,Pfizer-Biotech,https://www.gob.mx/cms/uploads/attachment/file/606136/CP_Salud_CTD_coronavirus_COVID-19__13ene21.pdf,Se calcula a partir de la gráfica de barras sumando los acumulados.
26/12/2020,Sin especificar,2924,NA,Youtube,15.4,Pfizer-Biotech,https://www.youtube.com/watch?v=OhQDJtcZCiQ,Se interumpió el proceso de vacunación
25/12/2020,Sin especificar,2924,NA,Youtube,15.4,Pfizer-Biotech,https://www.youtube.com/watch?v=OhQDJtcZCiQ,Se interumpió el proceso de vacunación
24/12/2020,Sin especificar,2924,NA,Youtube,15.4,Pfizer-Biotech,https://www.youtube.com/watch?v=OhQDJtcZCiQ,Lo dicen en el minuto 15.40
